CUSTOMER P/N:	10DL501HP	TestSpecification Rev C												
SVI P/N:	LNK908-215429LF(10DL501HP)													
CREATED DATE:	3-Dec-15													
SW REV.:	1.000													
TEST SEQ REV.:	1.000													
Index	 Step#	Descriptions	FailedCode	Equipment	Command	Action 	Low Limit	High Limit	Unit	Type	Test Loop	Compensate	Remarks	RLY Status
37		ON 11 (Ctrl. SRLY6A to Supply 5V1 to TP10)		RELAY	@b008t	TEST								
38		"ON 28,30 (Connect DMM+&DMM- to SRLY4B(Meas volt at TP14 wpt TP4))"		RELAY	@b023t	TEST								
39		ON 12 (Ctrl. SRLY4B to meas. volt at TP14 wrt TP4)		RELAY	@b009t	TEST								
40		Meas voltage at TP14 wrt TP4	F6	34410A	READ?	TEST	11.6	13	VOLT	DPO1				
41		"OFF 28,30 (Connect DMM+&DMM- to SRLY4B(Meas volt at TP14 wpt TP4))"		RELAY	@b023f	TEST								
42		OFF 12 (Ctrl. SRLY4B to meas. volt at TP14 wrt TP4)		RELAY	@b009f	TEST								
43		Test ID 09-Verify calibrated frequency				STEP								
44		ON 14 (Ctrl. SRLY14B to connect OSC CH2 to TP15 wrt TP4)		RELAY	@b011t	TEST								
45		Meas OSC calibrated frequenc at TP15 wrt TP4	F7	DSO1072B	:MEAS:FREQ? CHAN2	TEST	970	1030	Hz	DPO1				
46		ON 14 (Ctrl. SRLY14B to connect OSC CH2 to TP15 wrt TP4)		RELAY	@b011f	TEST								
47		OFF 11 (Ctrl. SRLY6A to Supply 5V1 to TP10)		RELAY	@b008f	TEST								
48		ON 15 (Ctrl. SRLY12B to connect OSC CH2 to TP1 wrt TP4)		RELAY	@b012t	TEST								
49		Test ID 10-Test Hall signal in MCU				STEP								
50		Set time base of DSO1072B to 500uS		DSO1072B	:TIM:SCAL 0.005	TEST								
51		Wait 250mS		DELAY	100	TEST								
52		Set HOR delay to 10mS		DSO1072B	:TIM:MAIN:OFFS  0.035	TEST								
53		"ON 23,24 (Supply 12VDC to 5000 RPM MOTOR (CW)"		RELAY	@b042t	TEST								
54		Wait 250mS		DELAY	2000	TEST								
55		Enter to SINGLE SEQ mode		DSO1072B	:SINGLE	TEST								
56		Wait 250mS		DELAY	1500	TEST								
57		"OFF 23,24 (Supply 12VDC to 5000 RPM MOTOR (CW)"		RELAY	@b042f	TEST								
58		CHECK WF IS NULL?		DSO1072B	:MEASure:VMAX? 1	TEST								
59		Extract DL12 Hall WF CW		DSO1072B_HALL_WF	GET_WF_CW	TEST								
60		Clockwise 2V9	F8	DSO1072B_HALL_WF	2V9	TEST	2.61	3.19	V	DPO1				
61		Clockwise 1V3	F9	DSO1072B_HALL_WF	1V3	TEST	1.17	1.43	V	DPO1				
62		Clockwise 2V1	F10	DSO1072B_HALL_WF	2V1	TEST	1.89	2.31	V	DPO1				
63		Clockwise 4V8	F11	DSO1072B_HALL_WF	4V8	TEST	4.32	5.28	V	DPO1				
65		"ON 47,48 (Supply 12VDC to 5000 RPM MOTOR (CCW)"		RELAY	@b040t	TEST								
66		Wait 250mS		DELAY	2000	TEST								
67		Enter to SINGLE SEQ mode		DSO1072B	:SINGLE	TEST								
68		Wait 250mS		DELAY	1000	TEST								
69		"OFF 47,48 (Supply 12VDC to 5000 RPM MOTOR (CCW)"		RELAY	@b040f	TEST								
70		Extract DL12 Hall WF CCW		DSO1072B_HALL_WF	GET_WF_CCW	TEST								
71		Clockwise 2V9	F12	DSO1072B_HALL_WF	2V9	TEST	2.61	3.19	V	DPO1				
72		Clockwise 1V3	F13	DSO1072B_HALL_WF	1V3	TEST	1.17	1.43	V	DPO1				
73		Clockwise 2V1	F14	DSO1072B_HALL_WF	2V1	TEST	1.89	2.31	V	DPO1				
74		Clockwise 4V8	F15	DSO1072B_HALL_WF	4V8	TEST	4.32	5.28	V	DPO1				
75		OFF 15 (Ctrl. SRLY12B to connect OSC CH2 to TP1 wrt TP4)		RELAY	@b012f	TEST								
76		Enter to SINGLE SEQ mode		DSO1072B	:KEY:RUN	TEST								
77		Test ID 11-Meas O/P freq at Hall A				STEP								
78		"ON 23,24 (Supply 12VDC to 5000 RPM MOTOR (CW)"		RELAY	@b042t	TEST								
79		Set time base of DSO1072B to 10mS		DSO1072B	:TIM:SCAL 0.010	TEST								
80		ON 13 (Ctrl. SRLY6B to connect OSC CH1 to TP14 wrt TP4)		RELAY	@b010t	TEST								
81		ON 14 (Ctrl. SRLY14B to connect OSC CH2 to TP15 wrt TP4)		RELAY	@b011t	TEST								
82		Meas O/P freq. at TP14 wrt TP4	F16	DSO1072B	:MEAS:FREQ? CHAN2	TEST	36000	44000	Hz	DPO1				
83		Test ID 12-Meas duty cycle at Hall A				STEP								
84		Meas duty cycle at TP14 wrt TP4	F17	DSO1072B	:MEAS:PDUT? CHAN2	TEST	45	55	%	DPO1				
85		Meas O/P freq. at TP15 wrt TP4	F18	DSO1072B	:MEAS:FREQ? CHAN2	TEST	36000	44000	Hz	DPO1				
86		Test ID 14-Meas duty cycle at Hall B				STEP								
87		Meas duty cycle at TP15 wrt TP4	F19	DSO1072B	:MEAS:PDUT? CHAN2	TEST	45	55	%	DPO1				
88		Test ID 15-Meas phase between Hall A and Hall B				STEP								
89		Meas phase between TP14 and TP15	F20	DSO1072B	":MEAS:NPHA? CHAN1,CHAN2"	TEST	81	99	Degree	DPO1				
90		Clear all relays		RELAY	@b000	TEST								
91		"ON 9 (Ctrl. SRLY8,10,12,14A to connect STK500 to DUT)"		RELAY	@b006t	STEP								
92		Program test software	F21	STK500	APP_FW	STEP	Programming complete!	Programming complete!	MESS	STR1				
93		"OFF 9 (Ctrl. SRLY8,10,12,14A to connect STK500 to DUT)"		RELAY	@b006f	STEP								
94						END								
